Show,Season,Num_Episodes_per_Season,Episode,Title,Year,Num_Lines_per_Episode
Gilmore Girls,01,21,01, The Pilot,2000,630
Gilmore Girls,01,21,02, The Lorelai's First Day at Chilton,2000,586
Gilmore Girls,01,21,03, k*ll Me Now,2000,698
Gilmore Girls,01,21,04, The Deer Hunters,2000,717
Gilmore Girls,01,21,05, Rory's Birthday Parties,2000,753
Gilmore Girls,01,21,06, Cinnamon's Wake,2000,667
Gilmore Girls,01,21,07, Kiss and Tell,2000,753
Gilmore Girls,01,21,08, Love and w*r and Snow,2000,695
Gilmore Girls,01,21,09, Rory's Dance,2001,817
Gilmore Girls,01,21,10, Forgiveness and Stuff,2001,745
Gilmore Girls,01,21,11, Paris Is Burning,2001,822
Gilmore Girls,01,21,12, Double Date,2001,825
Gilmore Girls,01,21,13, Concert Interruptus,2001,780
Gilmore Girls,01,21,14, That Damn Donna Reed,2001,875
Gilmore Girls,01,21,15, Christopher Returns,2001,727
Gilmore Girls,01,21,16, Star-Crossed Lovers and Other Strangers,2001,743
Gilmore Girls,01,21,17, The Breakup Part 2,2001,785
Gilmore Girls,01,21,18, The Third Lorelai,2001,892
Gilmore Girls,01,21,19, Emily In Wonderland,2001,887
Gilmore Girls,01,21,20, P.S. I Lo...,2001,869
Gilmore Girls,01,21,21," Love, Daisies, and Troubadors",2001,765
Gilmore Girls,02,22,01," Sadie, Sadie",2001,747
Gilmore Girls,02,22,02, Hammers and Veils,2001,740
Gilmore Girls,02,22,03, Red Light On The Wedding Night,2001,909
Gilmore Girls,02,22,04, The Road Trip To Harvard,2001,904
Gilmore Girls,02,22,05," Nick & Nora, Syd & Nancy",2001,735
Gilmore Girls,02,22,06, Presenting Lorelai Gilmore,2001,753
Gilmore Girls,02,22,07," Like Mother, Like Daughter",2001,846
Gilmore Girls,02,22,08, The Ins and Outs of Inns,2001,824
Gilmore Girls,02,22,09," Run Away, Little Boy",2001,838
Gilmore Girls,02,22,10, The Bracebridge Dinner,2001,823
Gilmore Girls,02,22,11, Secrets and Loans,2002,847
Gilmore Girls,02,22,12, Richard In Stars Hollow,2002,890
Gilmore Girls,02,22,13," A-Tisket, A-Tasket",2002,879
Gilmore Girls,02,22,14, It Should've Been Lorelai,2002,881
Gilmore Girls,02,22,15, Lost and Found,2002,879
Gilmore Girls,02,22,16, There's The Rub,2002,841
Gilmore Girls,02,22,17, Dead Uncles and Vegetables,2002,866
Gilmore Girls,02,22,18, Back In The Saddle Again,2002,906
Gilmore Girls,02,22,19, Teach Me Tonight,2002,790
Gilmore Girls,02,22,20, Help Wanted,2002,797
Gilmore Girls,02,22,21, Lorelai's Graduation Day,2002,773
Gilmore Girls,02,22,22, I Can't Get Started,2002,796
Gilmore Girls,03,22,01, Those Lazy-Hazy-Crazy Days,2002,785
Gilmore Girls,03,22,02, Haunted Leg,2002,817
Gilmore Girls,03,22,03, Application Anxiety,2002,894
Gilmore Girls,03,22,04, One's Got Class And The Other One Dyes,2002,756
Gilmore Girls,03,22,05, Eight O'Clock at the Oasis,2002,802
Gilmore Girls,03,22,06, Take the Deviled Eggs,2002,500
Gilmore Girls,03,22,07," They sh**t Gilmores, Don't They?",2002,807
Gilmore Girls,03,22,08, Let the Games Begin,2002,825
Gilmore Girls,03,22,09, A Deep-Fried Korean Thanskgiving,2002,916
Gilmore Girls,03,22,10," That'll Do, Pig",2003,914
Gilmore Girls,03,22,11, I Solemnly Swear,2003,776
Gilmore Girls,03,22,12, Lorelai Out Of Water,2003,794
Gilmore Girls,03,22,13, Dear Emily And Richard,2003,859
Gilmore Girls,03,22,14, Swan Song,2003,958
Gilmore Girls,03,22,15, Face-Off,2003,687
Gilmore Girls,03,22,16, The Big One,2003,794
Gilmore Girls,03,22,17, A Tale Of Poes And Fire,2003,872
Gilmore Girls,03,22,18," Happy Birthday, Baby",2003,938
Gilmore Girls,03,22,19, Keg! Max!,2003,782
Gilmore Girls,03,22,20," Say Goodnight, Gracie",2003,735
Gilmore Girls,03,22,21, Here Comes The Son,2003,683
Gilmore Girls,03,22,22," Those Are Strings, Pinocchio",2003,805
Gilmore Girls,04,22,01, Ballroom and Biscotti,2003,760
Gilmore Girls,04,22,02, The Lorelais First Day at Yale,2003,824
Gilmore Girls,04,22,03," The Hobbit, the Sofa and the Digger St",2003,803
Gilmore Girls,04,22,04, Chicken or Beef,2003,854
Gilmore Girls,04,22,05, The Fundamental Things Apply,2003,821
Gilmore Girls,04,22,06, An Affair to Remember,2003,795
Gilmore Girls,04,22,07, The Festival of Living Art,2003,808
Gilmore Girls,04,22,08, Die Jerk,2003,994
Gilmore Girls,04,22,09, Ted Koppel's Big Night Out,2003,955
Gilmore Girls,04,22,10, The Nanny and the Professor,2004,813
Gilmore Girls,04,22,11, In the Clamor and the Clangor,2004,809
Gilmore Girls,04,22,12, A Family Matter,2004,808
Gilmore Girls,04,22,13, Nag Hammadi is Where They Found Them,2004,781
Gilmore Girls,04,22,14, The Incredible Shrinking Lorelais,2004,756
Gilmore Girls,04,22,15, Scene in a Mall,2004,857
Gilmore Girls,04,22,16, The Reigning Lorelai,2004,708
Gilmore Girls,04,22,17," Girls in Bikinis, Boys doing the T",2004,795
Gilmore Girls,04,22,18," Tick, Tick, Tick, Boom",2004,807
Gilmore Girls,04,22,19, Afterboom,2004,771
Gilmore Girls,04,22,20, Luke Can See Her Face,2004,761
Gilmore Girls,04,22,21," Last Weeks Fights, This Weeks Tights",2004,756
Gilmore Girls,04,22,22, Raincoats and Recipes,2004,770
Gilmore Girls,05,22,01, Say Goodbye to Daisy Miller,2004,668
Gilmore Girls,05,22,02," A Messenger, Nothing More",2004,741
Gilmore Girls,05,22,03, Written in the Stars,2004,770
Gilmore Girls,05,22,04, Tippecanoe and Taylor Too,2004,745
Gilmore Girls,05,22,05, We Got Us a Pippi Virgin,2004,883
Gilmore Girls,05,22,06," Norman Mailer, I'm Pregnant",2004,669
Gilmore Girls,05,22,07," You Jump, I Jump, Jack",2004,752
Gilmore Girls,05,22,08, The Party's Over,2004,794
Gilmore Girls,05,22,09, Emily Says Hello,2004,672
Gilmore Girls,05,22,10, But Not as Cute as Pushkin,2004,733
Gilmore Girls,05,22,11, Women Of Questionable Morals,2005,742
Gilmore Girls,05,22,12, Come Home,2005,776
Gilmore Girls,05,22,13, Wedding Bell Blues,2005,665
Gilmore Girls,05,22,14, Say Something,2005,775
Gilmore Girls,05,22,15, Jews & Chinese Food,2005,787
Gilmore Girls,05,22,16, So...Good Talk,2005,829
Gilmore Girls,05,22,17, Pulp Friction,2005,827
Gilmore Girls,05,22,18, To Live and Let Diorama,2005,751
Gilmore Girls,05,22,19, But I'm A Gilmore,2005,794
Gilmore Girls,05,22,20, How Many Kropogs to Cape Cod,2005,819
Gilmore Girls,05,22,21, Blame Booze and Melville,2005,846
Gilmore Girls,05,22,22, A House is Not A Home,2005,699
Gilmore Girls,06,22,01, New and Improved Lorelai Gilmore,2005,640
Gilmore Girls,06,22,02, Fight Face,2005,732
Gilmore Girls,06,22,03, The UnGraduate,2005,610
Gilmore Girls,06,22,04," Always a Godmother, Never a God",2005,639
Gilmore Girls,06,22,05, We've Got Magic to do,2005,728
Gilmore Girls,06,22,06, Welcome to the Dollhouse,2005,718
Gilmore Girls,06,22,07, Twentyone is the Loneliest Number,2005,688
Gilmore Girls,06,22,08, Let me Hear Your Balalaikas Ringin,2005,783
Gilmore Girls,06,22,09, The Prodigal Daughter Returns,2005,752
Gilmore Girls,06,22,10, He's Slippin Em Bread... Dig?,2005,797
Gilmore Girls,06,22,11, The Perfect Dress,2006,732
Gilmore Girls,06,22,12, Just Like Gwen and Gavin,2006,747
Gilmore Girls,06,22,13, Friday Night's Alright For Fighting,2006,745
Gilmore Girls,06,22,14, You've Been Gilmored,2006,844
Gilmore Girls,06,22,15, A Vineyard Valentine,2006,855
Gilmore Girls,06,22,16, Bridesmaids Revisited,2006,714
Gilmore Girls,06,22,17," I'm OK, You're OK",2006,781
Gilmore Girls,06,22,18, The Real Paul Anka,2006,813
Gilmore Girls,06,22,19, I Get A Sidekick Out of You,2006,676
Gilmore Girls,06,22,20, Super Cool Party People,2006,674
Gilmore Girls,06,22,21, Driving Miss Gilmore,2006,815
Gilmore Girls,06,22,22, Partings,2006,662
Gilmore Girls,07,22,01, The Long Morrow,2006,595
Gilmore Girls,07,22,02," That's What You Get, Folks, For Makin' Whoopee",2006,457
Gilmore Girls,07,22,03, Lorelai's First Cotillion,2006,687
Gilmore Girls,07,22,04," 'S Wonderful, 'S Marvelous",2006,611
Gilmore Girls,07,22,05, The Great Stink,2006,698
Gilmore Girls,07,22,06, Go Bulldogs,2006,777
Gilmore Girls,07,22,07, French Twist,2006,665
Gilmore Girls,07,22,08, Introducing Lorelai Planetarium,2006,816
Gilmore Girls,07,22,09," Knit, People, Knit!!",2006,755
Gilmore Girls,07,22,10, Merry Fisticuffs,2006,736
Gilmore Girls,07,22,11, Santa's Secret Stuff,2007,696
Gilmore Girls,07,22,12, To Whom It May Concern,2007,652
Gilmore Girls,07,22,13, I'd Rather be in Philidelphia,2007,616
Gilmore Girls,07,22,14," Farewell, My Pet",2007,675
Gilmore Girls,07,22,15," I'm a Kayak, Hear Me Roar",2007,685
Gilmore Girls,07,22,16, Will You Be My Lorelai Gilmore?,2007,706
Gilmore Girls,07,22,17, Gilmore Girls Only,2007,730
Gilmore Girls,07,22,18, Hay Bale Maze,2007,753
Gilmore Girls,07,22,19, It's Just Like Riding A Bike,2007,791
Gilmore Girls,07,22,20, Lorelai? Lorelai?,2007,699
Gilmore Girls,07,22,21, Unto The Breach,2007,660
Gilmore Girls,07,22,22, Bon Voyage,2007,728
